NtsbNo,CompletionStatus,EventType,Mkey,IsStudy,EventDate,City,State,Country,ReportNo,N#,VehicleMake,VehicleModel,HighestInjuryLevel,InjuryOngroundCount,InjuryOnboardCount,HasSafetyRec,Mode,ReportNumber,ReportType,DocketPublishDate,OriginalPublishedDate,ReportDate,MostRecentReportType,EV_ID,RepGenFlag
ANC25LA014,Completed,Accident,199498,false,2024-12-31T15:30:00Z,Anchorage,Alaska,United States,,N3552E,Cessna,172N,None,,0,false,Aviation,,DirectorBrief,2025-05-12T18:00:00Z,2025-05-12T04:00:00Z,2025-01-01T07:05:41.577Z,Final,,
WPR25LA076,Completed,Accident,199524,false,2024-12-31T15:15:00Z,Los Alamos,New Mexico,United States,,N71074,Cessna,182M,None,,0,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2025-01-16T01:58:32.754Z,Final,,
CEN25LA067,Completed,Accident,199496,false,2024-12-31T14:20:00Z,Galveston,Texas,United States,,N441HQ,ROBINSON HELICOPTER,R44,None,0,0,false,Aviation,,DirectorBrief,2025-01-30T18:00:00Z,2025-01-30T05:00:00Z,2025-01-01T02:45:40.104Z,Final,,
DCA25FM013,In work,,199499,false,2024-12-30T18:00:00Z,Cleveland,Ohio,United States,,,,,None,,,false,Marine,,DirectorBrief,,,,Prelim,,
ERA25FA086,In work,Accident,199492,false,2024-12-30T17:15:00Z,Peebles,Ohio,United States,,N6979T,Cessna,310,Fatal,0,1,false,Aviation,,DirectorBrief,,,2025-01-03T04:34:53.219Z,Prelim,,
DCA25FM012,In work,,199486,false,2024-12-29T21:39:00Z,Luling,Louisiana,United States,,,,,,,,false,Marine,,DirectorBrief,,,,Prelim,,
DCA25LA091,Completed,Accident,199575,false,2024-12-29T05:00:00Z,Gulf of America,Gulf of America,United States,,N647UA,Boeing,767-322,Serious,,1,false,Aviation,,DirectorBrief,2025-10-14T18:00:00Z,2025-10-14T04:00:00Z,2025-01-22T01:49:19.432Z,Final,,
DCA25WA072,N/A,Accident,199476,false,2024-12-29T05:00:00Z,Muan County,,Republic Of Korea,,HL8088,Boeing,737,Fatal,,175,false,Aviation,,None,,,2025-02-20T21:23:55.437Z,,,
DCA25WA073,N/A,Accident,199477,false,2024-12-28T21:04:00Z,Oslo,,Norway,,PH-BXM,Boeing,737,None,,0,false,Aviation,,DirectorBrief,,,2024-12-31T00:00:03.283Z,,,
CEN25LA066,Completed,Accident,199491,false,2024-12-28T17:00:00Z,Monticello,Iowa,United States,,N478SA,DIAMOND AIRCRAFT IND INC,DA 40 NG,None,0,0,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-31T23:36:54.136Z,Final,,
CEN25LA064,Completed,Accident,199479,false,2024-12-28T15:25:00Z,Parsons,Kansas,United States,,N719LB,Cozy,Cub,Serious,0,1,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2025-01-13T19:08:49.463Z,Final,,
ENG25WA029,N/A,Incident,200045,false,2024-12-28T05:00:00Z,Oslo,Other Foreign,Norway,,PH-BXM,Boeing,737,,,,false,Aviation,,None,,,2025-04-22T15:39:09.885Z,Prelim,,
CEN25LA065,Completed,Accident,199488,false,2024-12-28T00:45:00Z,New Braunfels,Texas,United States,,N5263W,Piper,PA-28,Serious,,3,false,Aviation,,DirectorBrief,2025-01-30T18:00:00Z,2025-01-30T05:00:00Z,2024-12-31T01:50:05.546Z,Final,,
WPR25LA071,Completed,Accident,199497,false,2024-12-27T23:03:00Z,Gallup,New Mexico,United States,,N505SW,Cessna,T210L,None,,0,false,Aviation,,DirectorBrief,2025-11-05T18:00:00Z,2025-11-05T05:00:00Z,2025-01-01T03:45:24.189Z,Final,,
ERA25LA094,Completed,Accident,199523,false,2024-12-27T20:30:00Z,Florence,South Carolina,United States,,N458K,Beech,58,None,0,0,false,Aviation,,DirectorBrief,2025-07-03T17:00:00Z,2025-07-03T04:00:00Z,2025-01-14T20:28:54.471Z,Final,,
CEN25LA074,In work,Accident,199531,false,2024-12-27T15:09:00Z,Pagosa Springs,Colorado,United States,,N753MB,Cessna,560,None,0,0,false,Aviation,,DirectorBrief,,,2025-01-22T00:47:09.476Z,Prelim,,
GAA25WA050,N/A,Accident,199503,false,2024-12-27T15:05:00Z,Pucallpa,,Peru,,OB-2221P,Beechcraft,E90,None,,0,false,Aviation,,None,,,2025-03-04T17:41:39.285Z,Prelim,,
ERA25LA084,Completed,Accident,199481,false,2024-12-26T20:57:00Z,Melbourne,Florida,United States,,N76NN,Beech,BE-76,Serious,0,2,false,Aviation,,DirectorBrief,2025-12-11T22:00:00Z,2025-10-30T04:00:00Z,2025-01-07T22:56:20.882Z,Final,,
DCA25FA071,In work,Accident,199474,false,2024-12-26T15:35:00Z,Henderson,Nevada,United States,,N958AK,Boeing,737,Serious,0,3,false,Aviation,,DirectorBrief,,,2025-02-20T21:37:38.882Z,Prelim,,
ERA25LA085,Completed,Accident,199489,false,2024-12-25T19:00:00Z,Loganville,Georgia,United States,,N6665K,Aeronca,15AC,Serious,,1,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2025-01-03T01:49:14.95Z,Final,,
DCA25WA069,N/A,Accident,199471,false,2024-12-25T08:25:00Z,Aktau,Other Foreign,Kazakhstan,,4R-AZ65,Embraer,ERJ190,Fatal,,67,false,Aviation,,None,,,2025-09-18T16:50:05.169Z,,,
ANC25LA012,Completed,Accident,199467,false,2024-12-24T18:00:00Z,Palmer,Alaska,United States,,N3802Z,Piper,PA-18-150,None,,0,false,Aviation,,DirectorBrief,2025-06-13T17:00:00Z,2025-06-13T04:00:00Z,2024-12-29T08:12:25.605Z,Final,,
GAA25WA049,N/A,Accident,199484,false,2024-12-23T13:45:00Z,Fife,,United Kingdom,,N4698W,ROCKWELL INTERNATIONAL,112TCA,Fatal,,1,false,Aviation,,None,,2025-12-23T05:00:00Z,2025-05-20T21:02:30.978Z,Final,,
ANC25LA013,Completed,Accident,199472,false,2024-12-23T13:00:00Z,Waimea,Hawaii,United States,,N7143E,Cessna,182B,None,,0,false,Aviation,,DirectorBrief,2025-09-30T17:00:00Z,2025-09-30T04:00:00Z,2025-01-06T20:51:28.629Z,Final,,
WPR25LA070,In work,Accident,199466,false,2024-12-22T18:39:00Z,Gila Bend,Arizona,United States,,N1FB,Vans,RV-7A,Minor,0,1,false,Aviation,,DirectorBrief,,,2024-12-24T03:12:55.746Z,Prelim,,
WPR25LA069,Completed,Accident,199463,false,2024-12-22T17:45:00Z,Carson,California,United States,,N519CV,SLING AIRCRAFT (PTY) LTD,Sling LSA,None,0,0,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-27T00:42:42.254Z,Final,,
GAA25WA203,N/A,Accident,200481,false,2024-12-22T16:38:00Z,Nayarit,,Mexico,,XB-MLO,Cessna,C207,Fatal,,7,false,Aviation,,None,,2025-09-04T04:00:00Z,2025-08-31T23:35:48.538Z,Final,,
GAA25WA048,N/A,Accident,199465,false,2024-12-22T11:13:00Z,Gramado,,Brazil,,PR-NDN,Piper,PA42,Fatal,,10,false,Aviation,,None,,,2025-01-09T01:20:19.689Z,Prelim,,
GAA25WA047,N/A,Accident,199460,false,2024-12-22T05:00:00Z,Wasu,,Papua New Guinea,,P2-SAM,Pilatus Britten Norman,BN-2B-26 Islander,None,,0,false,Aviation,,None,,,2025-03-04T16:37:42.891Z,Prelim,,
DCA25LA065,In work,Accident,199458,false,2024-12-21T20:30:00Z,Orlando,Florida,United States,,UNREG,Uvify,IFO,Serious,1,,false,Aviation,,DirectorBrief,,,2025-01-09T00:06:15.886Z,Prelim,,
ERA25LA089,Completed,Accident,199501,false,2024-12-21T20:00:00Z,Myakka City,Florida,United States,,UNREG,Buckeye,Dream Machine,Serious,,1,false,Aviation,,DirectorBrief,2025-07-03T17:00:00Z,2025-07-03T04:00:00Z,2025-01-06T18:25:14.857Z,Final,,
GAA25WA046,N/A,Accident,199461,false,2024-12-21T18:12:00Z,Émerainville,Other Foreign,France,,F-GFIE,Piper,PA28,Minor,0,2,false,Aviation,,None,,,2024-12-23T20:23:21.074Z,Prelim,,
WPR25LA068,Completed,Accident,199462,false,2024-12-21T18:10:00Z,Brawley,California,United States,,N191DY,REMOS AIRCRAFT GMBH,REMOS G-3/600,None,0,0,false,Aviation,,DirectorBrief,2025-08-11T17:00:00Z,2025-08-11T04:00:00Z,2025-01-02T23:45:08.908Z,Final,,
CEN25LA063,Completed,Accident,199464,false,2024-12-21T17:27:00Z,Springfield,Missouri,United States,,N3104U,ROBINSON HELICOPTER,R22 BETA,Minor,,1,false,Aviation,,DirectorBrief,2025-02-21T19:00:00Z,2025-02-21T05:00:00Z,2024-12-30T23:14:52.659Z,Final,,
ANC25LA011,In work,Accident,199457,false,2024-12-21T01:15:00Z,Honolulu,Hawaii,United States,,N438CA,RAYTHEON AIRCRAFT COMPANY,C90A,None,,0,false,Aviation,,DirectorBrief,,,2024-12-23T23:47:40.25Z,Prelim,,
ERA25FA082,In work,Accident,199456,false,2024-12-20T16:00:00Z,Cintrona,Puerto Rico,United States,,N22088,Cessna,172,Fatal,0,1,false,Aviation,,DirectorBrief,,,2024-12-31T00:17:28.583Z,Prelim,,
GAA25WA061,N/A,Accident,199549,false,2024-12-20T15:00:00Z,Manicore,Other Foreign,Brazil,,PT-JCZ,Cessna,310,Fatal,,2,false,Aviation,,None,,,2025-02-14T22:11:16.131Z,Prelim,,
WPR25LA066,Completed,Accident,199455,false,2024-12-19T18:20:00Z,Placerville,California,United States,,N29247,Piper,PA-28RT-201T,None,0,0,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-24T00:20:27.121Z,Final,,
ERA25LA081,Completed,Accident,199452,false,2024-12-19T18:00:00Z,Lakewood,New Jersey,United States,,N12194,Cessna,172,Minor,0,1,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-31T00:28:15.048Z,Final,,
ERA25LA083,Completed,Accident,199459,false,2024-12-19T17:50:00Z,Murray,Kentucky,United States,,N755RP,Beech,B95A,None,0,0,false,Aviation,,DirectorBrief,2025-06-13T17:00:00Z,2025-06-13T04:00:00Z,2024-12-31T20:15:04.352Z,Final,,
WPR25LA065,In work,Accident,199454,false,2024-12-19T17:15:00Z,Mesa,Arizona,United States,,N7833P,Piper,PA-24-250,None,0,0,false,Aviation,,DirectorBrief,,,2025-01-15T07:07:24.863Z,Prelim,,
ERA25LA087,Completed,Accident,199495,false,2024-12-19T13:30:00Z,Southport,North Carolina,United States,,N7085G,Cessna,172K,None,,0,false,Aviation,,DirectorBrief,2025-11-20T18:00:00Z,2025-11-20T05:00:00Z,2025-01-09T20:40:13.574Z,Final,,
ERA25FA080,In work,Accident,199447,false,2024-12-19T13:22:00Z,East Aurora,New York,United States,,N36WP,Beech,A36,Fatal,0,1,false,Aviation,,DirectorBrief,,,2024-12-27T00:22:18.451Z,Prelim,,
DCA25WA063,N/A,Incident,199451,false,2024-12-19T05:00:00Z,Molde,Other Foreign,Norway,,LN-NIP,Boeing,737,None,,0,false,Aviation,,None,,,2024-12-20T17:01:40.29Z,Prelim,,
RRD25FR005,In work,Accident,199444,false,2024-12-18T19:00:00Z,Pecos,Texas,United States,,,,,Fatal,3,,false,Railroad,,Report,2025-10-28T13:00:00Z,,,Prelim,,
ERA25LA079,Completed,Accident,199445,false,2024-12-18T18:27:00Z,Big Cypress,Florida,United States,,N8516V,Air Tractor,AT504,None,0,0,false,Aviation,,DirectorBrief,2025-08-20T17:00:00Z,2025-08-20T04:00:00Z,2024-12-31T00:07:12.68Z,Final,,
GAA25WA044,N/A,Accident,199443,false,2024-12-18T18:19:00Z,San Fernando,,Argentina,,LV-GOK,Bombardier,BD100,Fatal,,2,false,Aviation,,None,,,2025-03-20T01:46:30.958Z,Prelim,,
DCA25LA061,In work,Accident,199449,false,2024-12-18T18:00:00Z,St. Mary's,Alaska,United States,,N403LC,Lockheed,382G-44K-30,None,,0,false,Aviation,,DirectorBrief,,,2024-12-20T16:14:05.504Z,Prelim,,
DCA25WA064,N/A,Incident,199453,false,2024-12-18T05:00:00Z,Crawley,Other Foreign,United Kingdom,,G-TUML,Boeing,737,,,,false,Aviation,,None,,,2024-12-20T20:41:11.84Z,Prelim,,
ANC25FA010,In work,Accident,199437,false,2024-12-17T17:15:00Z,Honolulu,Hawaii,United States,,N689KA,Cessna,208B,Fatal,,2,false,Aviation,,DirectorBrief,,,2024-12-18T09:42:23.885Z,Prelim,,
DCA25WA059,N/A,Accident,199438,false,2024-12-16T18:47:00Z,Derby,,United Kingdom,,G-TAWB,Boeing,737,Serious,,1,false,Aviation,,None,,,2024-12-18T19:06:54.128Z,Prelim,,
WPR25FA062,In work,Accident,199430,false,2024-12-16T12:30:00Z,Potrero,California,United States,,N617GC,AMERICAN EUROCOPTER LLC,AS350B3,Fatal,,1,false,Aviation,,DirectorBrief,,,2025-01-13T19:23:13.241Z,Prelim,,
WPR25LA063,Completed,Accident,199433,false,2024-12-16T11:58:00Z,Pendleton,Oregon,United States,,N209PA,AMAZON.COM SERVICES LLC,MK30,None,,0,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-17T22:31:20.972Z,Final,,
WPR25LA064,Completed,Accident,199434,false,2024-12-16T11:58:00Z,Pendleton,Oregon,United States,,N223PA,AMAZON.COM SERVICES LLC,MK30,None,,0,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-17T22:30:59.214Z,Final,,
CEN25LA062,Completed,Accident,199442,false,2024-12-15T13:20:00Z,Ozark,Missouri,United States,,N556CF,CAPELLA AIRCRAFT CORP,FW1C50,Minor,0,1,false,Aviation,,DirectorBrief,2025-07-03T17:00:00Z,2025-07-03T04:00:00Z,2025-01-28T22:09:12.086Z,Final,,
GAA25WA043,N/A,Accident,199440,false,2024-12-14T18:00:00Z,Los Lagos,Other Foreign,Chile,,CC-AHA,Robinson,R44,Minor,,4,false,Aviation,,None,,,2025-03-04T17:25:56.597Z,Prelim,,
ERA25LA092,Completed,Accident,199514,false,2024-12-14T16:25:00Z,Englishtown,New Jersey,United States,,N9137H,Cessna,172M,None,0,0,false,Aviation,,DirectorBrief,2025-07-17T17:00:00Z,2025-07-17T04:00:00Z,2025-01-10T17:41:06.99Z,Final,,
GAA25WA042,N/A,Accident,199439,false,2024-12-14T14:00:00Z,Vélez-Málaga,Other Foreign,Spain,,EC-NSJ,Champion,8KCAB,Fatal,0,1,false,Aviation,,None,,,2025-01-06T20:46:33.778Z,Prelim,,
WPR25LA061,Completed,Accident,199428,false,2024-12-13T14:09:00Z,Gig Harbor,Washington,United States,,N6750H,Cessna,172M,None,,0,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-16T22:36:50.536Z,Final,,
GAA25WA045,N/A,Accident,199448,false,2024-12-13T13:00:00Z,Santiago,,Chile,,CC-DJJ,Christen,Eagle II,Fatal,0,2,false,Aviation,,None,,,2024-12-26T20:33:39.786Z,Prelim,,
ENG25WA023,N/A,Incident,199697,false,2024-12-13T05:00:00Z,Karachi,,Pakistan,,EX-47004,Boeing,747,,,,false,Aviation,,None,,2025-07-17T04:00:00Z,2025-02-13T22:50:33.653Z,Final,,
ERA25FA076,In work,Accident,199423,false,2024-12-12T20:46:00Z,Greenwich,Connecticut,United States,,N298PM,Costruzioni Aeronautiche Tecnam,P2008,Fatal,,2,false,Aviation,,DirectorBrief,,,2024-12-27T18:37:35.931Z,Prelim,,
WPR25LA060,In work,Accident,199427,false,2024-12-12T15:15:00Z,Reedley,California,United States,,N789RC,ZALL JIHLAVAN AIRPLANES S R O,JA-600 SKYLEADER,Minor,,1,false,Aviation,,DirectorBrief,,,2024-12-16T21:49:02.401Z,Prelim,,
GAA25WA059,N/A,Accident,199546,false,2024-12-12T14:10:00Z,Nova Monte,Other Foreign,Brazil,,PR-BMJ,Piper,PA25,Fatal,0,1,false,Aviation,,None,,,2025-03-09T03:28:10.324Z,Prelim,,
ERA25LA077,Completed,Accident,199426,false,2024-12-12T13:35:00Z,Tullahoma,Tennessee,United States,,N161DW,WOLSTENHOLME DENNIS,PIETENPOL AIR CAMPER,None,0,0,false,Aviation,,DirectorBrief,2025-07-03T17:00:00Z,2025-07-03T04:00:00Z,2024-12-19T18:25:01.008Z,Final,,
ERA25LA078,Completed,Accident,199429,false,2024-12-11T22:00:00Z,Jefferson,Georgia,United States,,N885GT,Cessna,172,None,0,0,false,Aviation,,DirectorBrief,2025-07-03T17:00:00Z,2025-07-03T04:00:00Z,2024-12-26T17:31:35.442Z,Final,,
CEN25LA061,Completed,Accident,199422,false,2024-12-11T20:05:00Z,Crystal,Minnesota,United States,,N4823F,Piper,PA-28R-200,None,0,0,false,Aviation,,DirectorBrief,2025-03-20T18:00:00Z,2025-03-20T04:00:00Z,2024-12-18T17:41:36.471Z,Final,,
GAA25WA040,N/A,Accident,199432,false,2024-12-11T17:13:00Z,Örebro,Other Foreign,Sweden,,SE-LGL,Cessna,172,,,,false,Aviation,,None,,,2025-02-25T22:34:13.831Z,Prelim,,
CEN25LA060,Completed,Accident,199415,false,2024-12-11T17:00:00Z,Victoria,Texas,United States,,N818BR,Piper,PA-31-350,Serious,4,1,false,Aviation,,DirectorBrief,2025-01-21T18:00:00Z,2025-01-21T05:00:00Z,2024-12-12T22:48:35.1Z,Final,,
CEN25LA059,Completed,Accident,199414,false,2024-12-11T16:12:00Z,Pearland,Texas,United States,,N127SL,Cessna,182T,None,0,0,false,Aviation,,DirectorBrief,2025-11-14T15:00:00Z,2025-11-13T05:00:00Z,2024-12-19T18:07:42.552Z,Final,,
DCA25WA058,N/A,Accident,199436,false,2024-12-11T05:00:00Z,Abuja,,Nigeria,,5N-JRT,Boeing,737,,,,false,Aviation,,None,,2025-10-03T04:00:00Z,2024-12-18T18:30:58.725Z,Final,,
ERA25LA073,Completed,Accident,199408,false,2024-12-11T04:30:00Z,Atlanta,Georgia,United States,,N981AG,Cessna,560,None,0,0,false,Aviation,,DirectorBrief,2025-07-03T17:00:00Z,2025-07-03T04:00:00Z,2025-01-06T20:07:54.574Z,Final,,
DCA25FM011,In work,,199416,false,2024-12-10T23:21:00Z,,Alaska,United States,,,,,None,,,false,Marine,,DirectorBrief,,,,Prelim,,
GAA25WA060,N/A,Accident,199547,false,2024-12-10T19:30:00Z,Paranagua,Other Foreign,Brazil,,PR-SDC,Cessna,182,Minor,0,1,false,Aviation,,None,,,2025-03-23T17:20:08.974Z,Prelim,,
WPR25LA058,Completed,Accident,199405,false,2024-12-10T14:10:00Z,Los Alamitos,California,United States,,N913WB,Eurocopter,AS 350 B2,Minor,,2,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-11T19:04:34.642Z,Final,,
CEN25LA058,Completed,Accident,199413,false,2024-12-10T13:30:00Z,Smithville,Texas,United States,,N42CS,Vans,RV8,Serious,0,1,false,Aviation,,DirectorBrief,2025-05-06T18:00:00Z,2025-05-06T04:00:00Z,2024-12-17T21:29:14.765Z,Final,,
ERA25LA072,Completed,Accident,199402,false,2024-12-09T18:30:00Z,Pahokee,Florida,United States,,N90874,Piper,PA28,None,0,0,false,Aviation,,DirectorBrief,2025-04-02T18:00:00Z,2025-04-02T04:00:00Z,2024-12-23T19:42:52.05Z,Final,,
GAA25WA041,N/A,Accident,199435,false,2024-12-09T16:20:00Z,Barra Bonita,,Brazil,,PR-WDK,Cessna,188,None,,0,false,Aviation,,None,,,2025-02-25T22:22:44.786Z,Prelim,,
WPR25LA057,Completed,Accident,199401,false,2024-12-09T16:07:00Z,Glendale,Arizona,United States,,N36249,Bellanca,7GCBC,None,,0,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-13T00:27:57.71Z,Final,,
ERA25FA071,In work,Accident,199400,false,2024-12-09T15:32:00Z,Foley,Alabama,United States,,N271BP,MAGNI BUILDER LLC,M-16,Fatal,0,1,false,Aviation,,DirectorBrief,,,2024-12-14T00:40:38.231Z,Prelim,,
DCA25WA053,N/A,Incident,199399,false,2024-12-08T17:22:00Z,Bogotá,,Colombia,,HP3310DAE,Boeing,767,,,,false,Aviation,,None,,,2024-12-10T00:39:08.817Z,Prelim,,
WPR25LA059,Completed,Accident,199407,false,2024-12-08T15:30:00Z,El Cajon,California,United States,,N9199R,Boeing,A75N1(PT17),None,,0,false,Aviation,,DirectorBrief,2025-05-09T18:00:00Z,2025-05-09T04:00:00Z,2024-12-13T02:41:14.971Z,Final,,
CEN25FA056,In work,Accident,199394,false,2024-12-08T14:07:00Z,Columbia,Illinois,United States,,N9853M,Zenith,Zodiac CH601,Serious,,1,false,Aviation,,DirectorBrief,,,2024-12-13T03:21:50.987Z,Prelim,,
GAA25WA039,N/A,Accident,199412,false,2024-12-08T11:15:00Z,Watorowo,,Poland,,SP-KIK,Cessna,Cessna FA 150L,Serious,,2,false,Aviation,,None,,,2024-12-12T19:58:03.034Z,Prelim,,
ERA25LA070,Completed,Accident,199398,false,2024-12-07T18:27:00Z,Valdosta,Georgia,United States,,N100SW,WILLIAM M CLAPP,CLAPP-SABERWING,Serious,0,1,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-18T00:09:49.791Z,Final,,
DCA25FM010,Completed,,199393,false,2024-12-07T13:30:00Z,New Bedford,Massachusetts,United States,MIR2527,,,,None,,,false,Marine,MIR2527,DirectorBrief,2025-07-15T16:00:00Z,2025-07-15T04:00:00Z,2025-07-01T04:00:00Z,Final,,
ERA25FA069,In work,Accident,199391,false,2024-12-06T22:06:00Z,Homosassa,Florida,United States,,N702DP,VANS AIRCRAFT INC,RV-12IS,Fatal,,1,false,Aviation,,DirectorBrief,,,2024-12-08T17:23:25.517Z,Prelim,,
ENG25WA014,N/A,Incident,199441,false,2024-12-06T19:39:00Z,Abuja,,Nigeria,,5N-KAL,Hawker,Hawker 900,,,,false,Aviation,,None,,,2024-12-18T23:18:05.15Z,Prelim,,
CEN25LA057,Completed,Accident,199410,false,2024-12-06T15:35:00Z,Meridian,Mississippi,United States,,N5321Q,Cessna,150L,Serious,0,2,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-16T22:50:31.768Z,Final,,
ERA25FA066,In work,Accident,199388,false,2024-12-06T14:40:00Z,Vero Beach,Florida,United States,,N244RW,Schleicher,ASW24,Fatal,0,1,false,Aviation,,DirectorBrief,,,2024-12-17T17:32:12.691Z,Prelim,,
WPR25LA055,In work,Accident,199396,false,2024-12-05T15:03:00Z,Palmdale,California,United States,,N144SD,Vans,RV14,None,,0,false,Aviation,,DirectorBrief,,,2024-12-09T22:46:36.157Z,Prelim,,
DCA25FM009,In work,,199387,false,2024-12-05T12:30:00Z,Baltimore,Maryland,United States,,,,,,,,false,Marine,,BoardBrief,,,,Prelim,,
WPR25LA056,Completed,Accident,199397,false,2024-12-05T12:00:00Z,Marysvale,Utah,United States,,N1706B,Piper,PA-12,Minor,,2,false,Aviation,,DirectorBrief,2025-04-22T18:00:00Z,2025-04-22T04:00:00Z,2024-12-10T05:40:02.265Z,Final,,
DCA25WA052,N/A,Incident,199392,false,2024-12-05T07:05:00Z,Santa Cruz,,Bolivia,,CP-2791,Boeing,MD 10-30F,None,,0,false,Aviation,,None,,,2024-12-07T17:06:40.378Z,Prelim,,
GAA25WA038,N/A,Accident,199409,false,2024-12-05T05:00:00Z,Teyman,,Israel,,4X-AFB,Thrush,S2R,Serious,,1,false,Aviation,,None,,,2025-02-25T22:13:36.875Z,Prelim,,
ERA25FA065,In work,Accident,199380,false,2024-12-04T16:51:00Z,Fort Blackmore,Virginia,United States,,N627TT,TRUITT JAMES B,VANS RV-8A,Fatal,0,1,false,Aviation,,DirectorBrief,,,2024-12-11T21:49:39.864Z,Prelim,,
WPR25LA054,In work,Accident,199386,false,2024-12-04T16:20:00Z,Glen Avon,Oregon,United States,,N5330Q,Cessna,150L,None,,0,false,Aviation,,DirectorBrief,,,2024-12-05T22:32:18.126Z,Prelim,,
GAA25WA037,N/A,Accident,199384,false,2024-12-04T14:23:00Z,Maimuru,,Australia,,VH-XIX,Robinson,R44,Fatal,,1,false,Aviation,,None,,2025-07-07T04:00:00Z,2024-12-05T19:47:36.556Z,Final,,
ENG25WA011,N/A,Incident,199411,false,2024-12-04T09:15:00Z,Los Angeles,California,United States,,VH-EBQ,Airbus,A330,,,,false,Aviation,,None,,2025-07-23T04:00:00Z,2025-01-07T20:55:28.592Z,Final,,
DCA25LA055,Completed,Accident,199406,false,2024-12-04T00:30:00Z,Pacific Ocean,Other Foreign,Hong Kong,,N29975,Boeing,787-9,Serious,0,1,false,Aviation,,DirectorBrief,2025-09-03T18:00:00Z,2025-09-03T04:00:00Z,2024-12-11T20:00:11.532Z,Final,,
ENG25WA013,N/A,Occurrence,199431,false,2024-12-03T18:50:00Z,Cancún,,Mexico,,N115AM,Boeing,737-9,,,,false,Aviation,,None,,2025-08-18T04:00:00Z,2025-08-18T18:23:35.247Z,Final,,
DCA25FM008,Completed,,199378,false,2024-12-03T06:33:00Z,Scottsboro,Alabama,United States,NA,,,,,,,false,Marine,NA,CloseoutMemo,2025-03-14T16:00:00Z,2025-03-14T04:00:00Z,2025-03-11T04:00:00Z,Final,,
WPR25LA053,Completed,Accident,199375,false,2024-12-02T17:35:00Z,Spokane,Washington,United States,,N29GA,GULFSTREAM AM CORP COMM DIV,690D,None,,0,false,Aviation,,DirectorBrief,2025-12-10T18:00:00Z,2025-12-10T05:00:00Z,2024-12-09T23:56:22.316Z,Final,,
GAA25WA036,N/A,Accident,199377,false,2024-12-02T16:55:00Z,Magny-lès-Villers,,France,,N340GJ,Cessna,340A,Serious,,2,false,Aviation,,None,,,2024-12-04T07:33:46.252Z,Prelim,,
DCA25WA050,N/A,Incident,195573,false,2024-12-02T12:00:00Z,Windhoek,,Namibia,,D2-TBG,Boeing,737-700,,,,false,Aviation,,None,,,2024-12-03T16:33:50.071Z,Prelim,,
PLD25FR002,In work,Accident,195566,false,2024-12-02T09:00:00Z,Avondale,Louisiana,United States,,,,,Fatal,5,,false,Pipeline,,DirectorBrief,2025-08-27T18:00:00Z,,,Prelim,,
CEN25LA053,Completed,Accident,195571,false,2024-12-01T20:21:00Z,Boscobel,Wisconsin,United States,,N41997,Piper,PA-28R-200,None,0,0,false,Aviation,,DirectorBrief,2025-04-01T18:00:00Z,2025-04-01T04:00:00Z,2024-12-03T04:28:36.076Z,Final,,
CEN25LA054,In work,Accident,195575,false,2024-12-01T16:38:00Z,Brenham,Texas,United States,,N6242L,American Aviation,AA-1B,None,0,0,false,Aviation,,DirectorBrief,,,2024-12-10T21:53:33.434Z,Prelim,,
WPR25LA052,In work,Accident,195572,false,2024-12-01T15:00:00Z,Willcox,Arizona,United States,,N109V,Beech,35-33,None,0,0,false,Aviation,,DirectorBrief,,,2024-12-10T23:17:04.19Z,Prelim,,
DCA25FM007,In work,,199376,false,2024-12-01T07:10:00Z,Theodore,Alabama,United States,,,,,,,,false,Marine,,None,,,,Prelim,,
ENG25WA010,N/A,Incident,199383,false,2024-12-01T05:35:00Z,Aukland,Other Foreign,New Zealand,,ZK-NHA,Airbus,A320,,,,false,Aviation,,None,,,2024-12-05T19:40:55.472Z,Prelim,,
DCA25WA054,N/A,Incident,199403,false,2024-12-01T05:00:00Z,Perth,,Australia,,VH-XZK,Boeing,737,,,,false,Aviation,,None,,,2024-12-10T23:22:29.345Z,Prelim,,
