NtsbNo,CompletionStatus,EventType,Mkey,IsStudy,EventDate,City,State,Country,ReportNo,N#,VehicleMake,VehicleModel,HighestInjuryLevel,InjuryOngroundCount,InjuryOnboardCount,HasSafetyRec,Mode,ReportNumber,ReportType,DocketPublishDate,OriginalPublishedDate,ReportDate,MostRecentReportType,EV_ID,RepGenFlag
WPR18LA217,Completed,Accident,98041,false,2018-08-11T09:55:00Z,St. George,Utah,United States,,N218B,Smith,Hornet,Fatal,0,1,false,Aviation,,DirectorBrief,2020-04-22T16:41:00Z,2020-05-19T04:00:00Z,,Final,,
DCA18IA265,Completed,Incident,98050,false,2018-08-10T21:50:00Z,Philadelphia,Pennsylvania,United States,,N619A,Gulfstream,G IV,None,,0,false,Aviation,,DirectorBrief,2024-03-29T11:00:00Z,2022-05-27T04:00:00Z,,Final,,
WPR18FA220,Completed,Accident,98044,false,2018-08-10T21:43:00Z,Steilacoom,Washington,United States,,N449QX,De Havilland,DHC8,Fatal,0,1,false,Aviation,,DirectorBrief,2018-11-09T18:04:00Z,2018-11-09T05:00:00Z,,Final,,
GAA18CA487,Completed,Accident,98065,false,2018-08-10T18:15:00Z,Waynesville,Ohio,United States,,N29204,Cessna,U206,None,0,0,false,Aviation,,DirectorBrief,2019-10-17T19:26:00Z,2020-02-11T05:00:00Z,,Final,,
GAA18CA483,Completed,Accident,98051,false,2018-08-10T10:30:00Z,Ocean City,New Jersey,United States,,N92TR,Robinson,R22,None,0,0,false,Aviation,,DirectorBrief,2019-05-16T11:01:00Z,2019-09-26T04:00:00Z,,Final,,
DCA18IA264,Completed,Incident,98040,false,2018-08-10T07:40:00Z,Driggs,Idaho,United States,,N1410C,Lindstrand,105A,None,0,0,false,Aviation,,DirectorBrief,2018-11-09T19:12:00Z,2020-03-13T04:00:00Z,,Final,,
ANC18WA065,N/A,Accident,98054,false,2018-08-10T04:00:00Z,Nakanojo,,Japan,,JA200G,Bell,412EP,Fatal,0,9,false,Aviation,,None,,,,,,
DCA18FM032,Completed,Accident,98107,false,2018-08-09T21:30:00Z,Brownsville,Texas,United States,MAB1920,,,,Minor,,,false,Marine,MAB1920,DirectorBrief,2019-07-30T18:00:00Z,2019-07-19T04:00:00Z,2019-07-19T04:00:00Z,Final,,
GAA18CA515,Completed,Accident,98180,false,2018-08-09T20:10:00Z,Hunter,New York,United States,,N26LD,DELL LAWRENCE,Kitfox,None,0,0,false,Aviation,,DirectorBrief,2019-12-05T21:46:00Z,2020-03-20T04:00:00Z,,Final,,
GAA18CA489,Completed,Accident,98071,false,2018-08-09T17:00:00Z,Valdez,Alaska,United States,,N7ZV,Maule,MX7,None,0,0,false,Aviation,,DirectorBrief,2019-10-16T15:12:00Z,2020-02-11T05:00:00Z,,Final,,
DCA21WA225,N/A,Accident,103921,false,2018-08-09T15:42:00Z,Istanbul,,Turkey,,CN-RGT,Boeing,787,,,,false,Aviation,,None,,,2021-09-21T17:21:13.014Z,Prelim,,
ERA18LA215,Completed,Accident,98053,false,2018-08-09T14:12:00Z,Florence,South Carolina,United States,,N1693R,Cessna,R182,None,0,0,false,Aviation,,DirectorBrief,2019-02-28T14:41:00Z,2019-09-27T04:00:00Z,,Final,,
GAA18CA484,Completed,Accident,98052,false,2018-08-09T12:30:00Z,Spanish Fork,Utah,United States,,N557AT,AIRGYRO AVIATION LLC,Tercel,Minor,0,1,false,Aviation,,DirectorBrief,2018-10-31T14:21:00Z,2019-03-18T04:00:00Z,,Final,,
